plan,mode,threshold_mm,derivable,variant,reachable,rank_gt,top1,top5,chamfer_m,gt_n_columns
demo_06,algo,200,True,V3,False,3701,False,False,0.7422023375821614,66
demo_06,algo,200,True,V1,False,3701,False,False,0.7422023375821614,66
demo_06,learned,200,True,V3,False,5,False,True,0.1693193051176248,66
demo_06,learned,200,True,V1,False,5,False,True,0.1693193051176248,66
demo_07,algo,140,True,V3,False,3857,False,False,1.6658475650843456,150
demo_07,algo,140,True,V1,False,3857,False,False,1.6658475650843456,150
demo_07,learned,140,True,V3,False,1,True,True,0.0,150
demo_07,learned,140,True,V1,False,1,True,True,0.0,150
demo_07,algo,160,True,V3,True,2096,False,False,1.2458760705501837,56
demo_07,algo,160,True,V1,True,2096,False,False,1.2458760705501837,56
demo_07,learned,160,True,V3,True,33,False,False,0.3981080789574308,56
demo_07,learned,160,True,V1,True,33,False,False,0.3981080789574308,56
demo_07,algo,180,True,V3,False,1557,False,False,0.7279770496008783,38
demo_07,algo,180,True,V1,False,1557,False,False,0.7279770496008783,38
demo_07,learned,180,True,V3,False,369,False,False,0.6418874612866123,38
demo_07,learned,180,True,V1,False,369,False,False,0.6418874612866123,38
demo_07,algo,200,True,V3,False,1557,False,False,0.7279770496008783,38
demo_07,algo,200,True,V1,False,1557,False,False,0.7279770496008783,38
demo_07,learned,200,True,V3,False,369,False,False,0.6418874612866123,38
demo_07,learned,200,True,V1,False,369,False,False,0.6418874612866123,38
