plan,perturbation,kendall_tau,top1_same,top5_overlap,rank_gt
demo_07,t_span_demand -50%,0.9253641753156523,True,1.0,2374
demo_07,t_span_demand dropped,0.8344150183741489,False,1.0,2725
demo_07,t_irregularity +50%,0.909364833683091,True,1.0,2555
demo_07,t_irregularity -50%,0.8925622837753574,False,1.0,1572
demo_07,t_irregularity dropped,0.7696357139013651,False,0.8,868
demo_07,t_off_wall +50%,0.9739000357670772,True,1.0,1975
demo_07,t_off_wall -50%,0.9621831211047911,True,1.0,2260
demo_07,t_off_wall dropped,0.9085474451861627,True,1.0,2495
demo_07,t_repetition +50%,0.8864207284455881,False,1.0,1787
demo_07,t_repetition -50%,0.8593372645465968,True,0.6,2269
demo_07,t_repetition dropped,0.6983309752384208,False,0.0,2475
